word,count
بزنم,201
شونه,31
بگم:,17
آره,358
مرد,517
اما,2250
غم,275
فیک,137
فرق,259
سختي,10
وا,91
سخته,97
نشه,235
:),697
رویای,79
خون,465
نشدن,128
مرز,119
بوم,34
برای,7519
دار,385
متنفر,51
ام,691
اتفاق,328
افتاد,148
لطفن,29
دختر,1106
باشه,1926
حجم,153
لوس,19
باباش,62
گردش,17
غیر,489
قانونی,237
بانک,206
ها,4662
نداشت,144
افشای,34
توسط,707
حق,1402
برهنه,44
گرفت.,90
کاری,792
چادر,304
طراحی,66
ساخت,205
انواع,82
دستگاه,176
شهربازی,17
تجاوز,280
کردی,368
لباسش,14
تحریک,66
؟,988
پس,1897
باید,3915
صورت,580
له,85
حماقت,62
می‌کنه.,92
بازدید,67
منطق,121
#زلزله,77
زده,758
صیغه,50
هسته,47
یا,3755
مثلا,388
دیروز,236
اونا,334
روزها,151
هم,11167
رفیق,123
رفت,497
گفت,1324
نمیتونه,122
خاطر,594
منع,44
دارویی,18
بخوره,110
سالاد,13
مرغ,102
میزنه,292
نمیتونم,138
برم,530
پیش,1339
مرسی,206
:*,29
انقدر,455
خوابم,106
خدا,1601
اصلا,730
نمیبره,20
سرم,182
چشمم,45
اینجور,75
حالم,98
بهتر,485
میشه,2037
گاهی,289
آدمایی,42
چیزایی,87
بیارن,48
شلوغ,69
روزا,92
وجودت,17
گم,221
فیلمی,59
اینا,841
بازی,886
نکنه,225
فیلم,632
زندانی,319
سیاسی,819
سفر,198
جاییه,14
نمیخوام,34
مشکل,606
اینجاست,86
زمان,972
وقتایی,35
دارم,1718
پایه,134
ندارم،,39
دو,1995
گذشته،,24
سه,914
مرخصی,26
ندارم,503
:(,391
عالي,18
حقوق,875
بشر,254
يك,453
زندانيان,16
قيام,86
كساني,24
زندان,964
قتل,152
تشكيل,26
دهد.,51
#ایران,1070
#قیام_سراسری,281
همون,868
اندازه,298
تلگرام,268
توی,1253
طرفدار,201
داره،,116
اسنپ,47
چت,63
اینجا,944
منی,63
نور,227
بوی,188
خاک,402
راهی,175
آژانس,15
رفته,587
مسافران,41
عروسی,69
هویت,102
شجاع,137
انقلاب,1933
مشخص,231
نامش,51
#ویدا_موحد,81
اکنون,224
بازداشت,542
می‌برد.,12
فردای,71
نام,660
#حجاب,171
تغییر,455
کند،,76
زنی,169
شجاعانه,43
نفس,179
مثال,89
زدنی,14
#حجاب_اجباری,238
اعتراض,1187
تصویر,254
قدرتمند,29
جهانی,254
حالا,1866
فهمم,11
چرا,2606
معرفی,250
خودش,1213
۲,174
سالشه,14
استایل,12
واقعا,1048
داشتنی,28
هیچکس,159
بالاتر,121
باشگاه,68
حضورش,15
زمین,445
تحقیر,124
سزاوار,11
رئال,35
اوج,114
سرنوشت,114
لیورپول,17
دچار,195
هیچ,2065
بازیکن,53
اسطوره,36
جای,1037
ترانه,82
ارزش,287
گوش,546
داره,2546
گناهان,17
نزول,22
برخی,268
نعمت,76
الهی,203
سد,24
سبک,114
درون,156
داغون,37
اینکه,1702
میدونی,132
دردی,41
دوا,17
سرخورده,11
بدونم,49
باز,1234
میرسم,20
خونه,723
اول,1057
کاش,947
خانم,595
درونم,31
می‌شد,45
می‌رفت,11
کوفتی,13
می‌کرد,49
منِ,21
امیدی,45
گویا,144
سال,2600
چنین,377
عملیات,107
تموم,423
هیتلر,24
فکر,1691
میکرد,259
قراره,224
شکست,213
حالی,185
هدف,269
سوخت,43
آخرین,252
جبهه,159
غرب,186
هرچه,145
گویم,29
عشق,716
بیان,320
بهترين,33
ترين,75
خلبان,29
داديم,31
كثيف,15
خوردن,193
مهارت,24
تحويل,16
گرفتيم,17
#چي_داديم_چي_گرفتيم,13
صد,308
درد,636
:)),952
@ForoughS87,10
رضا,393
مهمترین,63
روزنامه,232
نگاران,15
دوران,327
شکوفایی,12
مطبوعات,27
شرق,54
جامعه,935
بارم,49
رفته.,31
جوری,302
ست,303
همه,4944
برخوردار,38
امکانات,107
میدونید,48
خودتون,374
مبارزان,26
مسجد,96
تخت,126
ملک,45
میگی؟,18
حال,1227
عاشق,367
سرایت,13
فاصله,171
دور,574
افتاده,213
چنان,125
عمری,16
دنبال,759
توام,65
خسته,302
زنم,53
پاسخ,341
سردی,15
خواب,608
برایت,31
#اعلیحضرت,111
بودن,1216
همچنان,162
سگ,343
منافع,140
اسرائیل,154
آمریکا,626
منطقه,286
میبود,11
#عربستان,20
@fotros110,13
کاسه,68
داغ,112
تر,965
آش,37
شما,4718
جایگاهی,21
هستین,53
ک,989
راجع,141
دیگران,240
قضاوت,160
کنید؟,92
امور,157
مهم,698
وصول,12
معرفت,46
استقامت,20
مراقبت,29
كامل,37
همواره,61
انسان,589
مشغول,106
الله,698
يعنی,16
ياد,86
او,1523
حضور,479
باشد.,197
منبع:,15
كلمه,28
مسافرت,33
همديگه,14
نميشه,66
خريد,50
بيشتر,139
٢٠,21
دقيقه,26
يعني,114
جدا,173
-_-,77
New,166
post,123
نقد,205
۲۰۱۷,17
فجر,300
has,92
been,92
published,92
on,104
سایت,237
تکنولوژی,65
اینو,379
برق,317
بکشه,47
رشت,84
گایید,15
سری,280
میتونم,90
صندلی,50
قطار,54
بشینم,30
هیجان,37
